City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Nicoya,CR,77.4,clear sky,10.1483,-85.45200000000001,Guayacan Real
505,French Harbor,HN,80.01,clear sky,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
509,Pontes E Lacerda,BR,76.3,overcast clouds,-15.2261,-59.3353,Hotel Bressan
512,Palmerston,AU,82.0,overcast clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
518,Sassandra,CI,77.09,overcast clouds,4.95,-6.0833,la terrasse
522,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
525,Singaraja,ID,81.0,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
527,Idenao,CM,78.8,few clouds,4.2475,9.0047,Moland Beach Resort
534,Jalingo,NG,75.83,overcast clouds,8.8833,11.3667,Debright Motel
536,Banda Aceh,ID,78.89,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
538,Sambava,MG,75.2,few clouds,-14.2667,50.1667,Melrose
542,Port-Gentil,GA,80.98,light rain,-0.7193,8.7815,Fengshui Residence
544,Sarangani,PH,81.55,overcast clouds,5.4033,125.4636,Ballistic Islet
552,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
559,Labuhan,ID,81.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
565,Aloleng,PH,81.59,clear sky,16.1307,119.7824,Agno Umbrella Rocks
569,Kloulklubed,PW,82.13,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
571,Formosa,AR,75.2,light rain,-26.1775,-58.1781,Asterión Hotel
573,Barinas,VE,77.61,clear sky,8.6226,-70.2075,Hotel Suites Mastranto
574,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
576,Biak,ID,82.92,scattered clouds,-0.9131,122.8766,Penginapan Kim
587,Cumana,VE,76.37,few clouds,10.4635,-64.1775,TIUNA INN HOTEL
592,Mogadishu,SO,75.52,scattered clouds,2.0371,45.3438,Hotel Juba
593,Surat Thani,TH,79.0,mist,9.1667,99.25,Suankafae Resort
601,Palu,ID,83.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
605,Rio Grande,BR,75.99,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
606,Gizo,SB,85.3,overcast clouds,-8.103,156.8419,Imagination Island
610,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
611,Maningrida,AU,85.86,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
612,Richards Bay,ZA,76.37,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
619,Buenavista,PH,80.46,overcast clouds,8.9769,125.4089,Room For Rent
624,Grand-Lahou,CI,78.42,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
625,Yeppoon,AU,87.8,few clouds,-23.1333,150.7333,Villa Mar Colina
627,Manta,EC,76.96,overcast clouds,-0.95,-80.7333,Balandra Hotel
629,Wewak,PG,83.86,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
635,Osmena,PH,80.37,clear sky,10.5208,119.9258,Arjemarkyza Lodge
636,Aquiraz,BR,80.6,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
649,Kawalu,ID,78.98,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
657,Upington,ZA,77.0,scattered clouds,-28.4478,21.2561,River Place Manor
659,Blackwater,AU,88.92,clear sky,-23.5833,148.8833,Blackwater Motor Inn
663,Cockburn Town,TC,75.83,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
664,Boyolangu,ID,80.17,light rain,-8.1181,111.8935,Yos ega cv
670,Lorengau,PG,85.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
673,Tay Ninh,VN,77.45,clear sky,11.3,106.1,Thanh Tuyền Hotel
677,Riberalta,BO,75.2,heavy intensity rain,-10.9833,-66.1,Hotel Colonial
681,Mahibadhoo,MV,80.83,broken clouds,3.7833,72.9667,Omadhoo Inn
685,Tutoia,BR,79.77,overcast clouds,-2.7619,-42.2744,Pousada Guará's
689,Puerto Quijarro,BO,80.62,overcast clouds,-17.7833,-57.7667,Hotel palance
701,Catamarca,AR,81.0,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
